Time,X,Time,Y,Time,Z
0,40.995,0,0.851,0,0
0.008672736,41.001,0.008672736,-0.244,0.008672736,0
0.041526514,40.978,0.041526514,-1.339,0.041526514,0
0.074387046,40.926,0.074387046,-2.433,0.074387046,0
0.107247386,40.844,0.107247386,-3.525,0.107247386,0
0.140102904,40.733,0.140102904,-4.614,0.140102904,0
0.172945461,40.593,0.172945461,-5.7,0.172945461,0
0.205798349,40.424,0.205798349,-6.782,0.205798349,0
0.238655196,40.227,0.238655196,-7.859,0.238655196,0
0.271504549,40,0.271504549,-8.93,0.271504549,0
0.3043516,39.745,0.3043516,-9.995,0.3043516,0
0.337207968,39.462,0.337207968,-11.053,0.337207968,0
0.370067117,39.15,0.370067117,-12.103,0.370067117,0
0.40293162,38.811,0.40293162,-13.144,0.40293162,0
0.43577911,38.444,0.43577911,-14.176,0.43577911,0
0.46864182,38.049,0.46864182,-15.197,0.46864182,0
0.501487446,37.628,0.501487446,-16.207,0.501487446,0
0.534317652,37.179,0.534317652,-17.206,0.534317652,0
0.567178841,36.704,0.567178841,-18.193,0.567178841,0
0.60004266,36.203,0.60004266,-19.167,0.60004266,0
0.632904877,35.676,0.632904877,-20.126,0.632904877,0
0.665736029,35.123,0.665736029,-21.072,0.665736029,0
0.698612596,34.546,0.698612596,-22.002,0.698612596,0
0.731449492,33.943,0.731449492,-22.916,0.731449492,0
0.764302504,33.317,0.764302504,-23.814,0.764302504,0
0.797145581,32.666,0.797145581,-24.695,0.797145581,0
0.830011701,31.993,0.830011701,-25.559,0.830011701,0
0.862870465,31.296,0.862870465,-26.403,0.862870465,0
0.895711693,30.577,0.895711693,-27.229,0.895711693,0
0.928567882,29.837,0.928567882,-28.036,0.928567882,0
0.961418756,29.074,0.961418756,-28.822,0.961418756,0
0.994284917,28.292,0.994284917,-29.588,0.994284917,0
1.027127994,27.489,1.027127994,-30.333,1.027127994,0
1.059992361,26.666,1.059992361,-31.055,1.059992361,0
1.092840001,25.825,1.092840001,-31.756,1.092840001,0
1.125688587,24.965,1.125688587,-32.433,1.125688587,0
1.158526854,24.087,1.158526854,-33.088,1.158526854,0
1.191392248,23.191,1.191392248,-33.719,1.191392248,0
1.224272265,22.28,1.224272265,-34.325,1.224272265,0
1.257099949,21.352,1.257099949,-34.907,1.257099949,0
1.289965329,20.41,1.289965329,-35.464,1.289965329,0
1.322799264,19.452,1.322799264,-35.996,1.322799264,0
1.355676694,18.481,1.355676694,-36.502,1.355676694,0
1.388527951,17.496,1.388527951,-36.981,1.388527951,0
1.421390017,16.5,1.421390017,-37.434,1.421390017,0
1.454218633,15.491,1.454218633,-37.86,1.454218633,0
1.487079206,14.471,1.487079206,-38.259,1.487079206,0
1.519940382,13.441,1.519940382,-38.631,1.519940382,0
1.552797215,12.402,1.552797215,-38.975,1.552797215,0
1.585634495,11.353,1.585634495,-39.291,1.585634495,0
1.618504654,10.297,1.618504654,-39.578,1.618504654,0
1.651337109,9.233,1.651337109,-39.838,1.651337109,0
1.684199586,8.162,1.684199586,-40.069,1.684199586,0
1.717071731,7.086,1.717071731,-40.271,1.717071731,0
1.749918919,6.005,1.749918919,-40.444,1.749918919,0
1.782764874,4.919,1.782764874,-40.588,1.782764874,0
1.815633322,3.83,1.815633322,-40.703,1.815633322,0
1.848488265,2.739,1.848488265,-40.789,1.848488265,0
1.881323077,1.645,1.881323077,-40.845,1.881323077,0
