Time,X,Time,Y,Time,Z
0,39.962,0,1.826,0,0
0.006727366,39.966,0.006727366,1.796,0.006727366,0
0.007635421,39.969,0.007635421,1.761,0.007635421,0
0.008689377,39.977,0.008689377,1.424,0.008689377,0
0.018803237,39.996,0.018803237,0.648,0.018803237,0
0.042092543,39.998,0.042092543,-0.337,0.042092543,0
0.071645559,39.978,0.071645559,-1.257,0.071645559,0
0.099254841,39.941,0.099254841,-2.087,0.099254841,0
0.124182062,39.88,0.124182062,-3.019,0.124182062,0
0.152204688,39.786,0.152204688,-4.057,0.152204688,0
0.183475242,39.661,0.183475242,-5.117,0.183475242,0
0.215498789,39.511,0.215498789,-6.153,0.215498789,0
0.246906013,39.331,0.246906013,-7.207,0.246906013,0
0.278987007,39.127,0.278987007,-8.23,0.278987007,0
0.310284394,38.897,0.310284394,-9.248,0.310284394,0
0.341597293,38.641,0.341597293,-10.259,0.341597293,0
0.372887661,38.351,0.372887661,-11.286,0.372887661,0
0.404905642,38.042,0.404905642,-12.282,0.404905642,0
0.436193708,37.697,0.436193708,-13.295,0.436193708,0
0.46830104,37.336,0.46830104,-14.273,0.46830104,0
0.49957915,36.949,0.49957915,-15.242,0.49957915,0
0.530884948,36.537,0.530884948,-16.2,0.530884948,0
0.562173173,36.088,0.562173173,-17.171,0.562173173,0
0.594269961,35.626,0.594269961,-18.106,0.594269961,0
0.625560501,35.127,0.625560501,-19.051,0.625560501,0
0.657623393,34.616,0.657623393,-19.96,0.657623393,0
0.688910092,34.082,0.688910092,-20.856,0.688910092,0
0.72020499,33.524,0.72020499,-21.736,0.72020499,0
0.751468117,32.929,0.751468117,-22.624,0.751468117,-0.001
0.783538644,32.326,0.783538644,-23.474,0.783538644,-0.001
0.814806737,31.685,0.814806737,-24.329,0.814806737,-0.001
0.846867943,31.038,0.846867943,-25.146,0.846867943,-0.001
0.878135878,30.37,0.878135878,-25.946,0.878135878,-0.001
0.909405626,29.681,0.909405626,-26.728,0.909405626,-0.001
0.940675676,29.012,0.940675676,-27.45,0.940675676,-0.001
0.970207607,28.284,0.970207607,-28.197,0.970207607,-0.001
1.001502807,27.537,1.001502807,-28.923,1.001502807,-0.001
1.032756156,26.772,1.032756156,-29.63,1.032756156,-0.001
1.064009347,26.015,1.064009347,-30.294,1.064009347,-0.001
1.094220819,25.252,1.094220819,-30.931,1.094220819,-0.001
1.124042323,24.435,1.124042323,-31.577,1.124042323,-0.001
1.155291639,23.58,1.155291639,-32.218,1.155291639,-0.001
1.187352846,22.731,1.187352846,-32.821,1.187352846,-0.001
1.218596473,21.865,1.218596473,-33.401,1.218596473,-0.001
